 lorenz attractor:
 -3.310371161 -9.756187439 29.863922119
 -3.471516609 -9.716371536 29.745571136
 -3.627637863 -9.676931381 29.631593704
 -3.778870106 -9.637942314 29.521810532
 -3.925346851 -9.599471092 29.416049957
 -4.067199707 -9.561575890 29.314146042
 -4.204559326 -9.524310112 29.215940475
 -4.337553024 -9.487718582 29.121280670
 -4.466307163 -9.451840401 29.030021667
 -4.590945721 -9.416709900 28.942026138
 -4.711589813 -9.382355690 28.857158661
 -4.828359127 -9.348803520 28.775291443
 -4.941370010 -9.316073418 28.696304321
 -5.050737381 -9.284181595 28.620080948
 -5.156573296 -9.253141403 28.546510696
 -5.258987427 -9.222963333 28.475486755
 -5.358086586 -9.193654060 28.406908035
 -5.453975677 -9.165219307 28.340679169
 -5.546756744 -9.137660980 28.276708603
 -5.636529446 -9.110980034 28.214908600
 -5.723390579 -9.085174561 28.155195236
 -5.807435036 -9.060240746 28.097488403
 -5.888755322 -9.036174774 28.041713715
 -5.967440605 -9.012969971 27.987798691
 -6.043578625 -8.990619659 27.935674667
 -6.117254734 -8.969115257 27.885274887
 -6.188551426 -8.948447227 27.836538315
 -6.257548809 -8.928605080 27.789405823
 -6.324325085 -8.909578323 27.743820190
 -6.388956547 -8.891354561 27.699729919
 -6.451516628 -8.873922348 27.657081604
 -6.512076855 -8.857268333 27.615827560
 -6.570706844 -8.841379166 27.575920105
 -6.627473831 -8.826242447 27.537315369
 -6.682443142 -8.811842918 27.499973297
 -6.735678196 -8.798167229 27.463851929
 -6.787240505 -8.785200119 27.428913116
 -6.837189674 -8.772927284 27.395122528
 -6.885582924 -8.761334419 27.362443924
 -6.932476521 -8.750406265 27.330844879
 -6.977924824 -8.740127563 27.300294876
 -7.021979809 -8.730483055 27.270763397
 -7.064692497 -8.721458435 27.242221832
 -7.106111526 -8.713038445 27.214643478
 -7.146284580 -8.705207825 27.188001633
 -7.185257435 -8.697951317 27.162273407
 -7.223074913 -8.691254616 27.137434006
 -7.259779453 -8.685102463 27.113462448
 -7.295412540 -8.679479599 27.090335846
 -7.330014229 -8.674371719 27.068035126
 -7.363623142 -8.669764519 27.046539307
 -7.396276474 -8.665642738 27.025831223
 -7.428010464 -8.661992073 27.005891800
 -7.458859921 -8.658797264 26.986705780
 -7.488858223 -8.656044960 26.968255997
 -7.518037796 -8.653720856 26.950527191
 -7.546429634 -8.651811600 26.933504105
 -7.574064255 -8.650302887 26.917173386
 -7.600970268 -8.649180412 26.901519775
 -7.627175331 -8.648430824 26.886531830
 -7.652706623 -8.648041725 26.872196198
 -7.677589893 -8.647998810 26.858501434
 -7.701849937 -8.648288727 26.845434189
 -7.725511074 -8.648899078 26.832984924
 -7.748595715 -8.649816513 26.821142197
 -7.771126270 -8.651028633 26.809894562
 -7.793123722 -8.652522087 26.799232483
 -7.814608574 -8.654285431 26.789146423
 -7.835600376 -8.656305313 26.779626846
 -7.856118202 -8.658570290 26.770664215
 -7.876179695 -8.661067963 26.762250900
 -7.895802021 -8.663786888 26.754375458
 -7.915001869 -8.666715622 26.747032166
 -7.933794498 -8.669841766 26.740211487
 -7.952195644 -8.673154831 26.733905792
 -7.970219612 -8.676642418 26.728105545
 -7.987880230 -8.680294037 26.722805023
 -8.005190849 -8.684098244 26.717996597
 -8.022163391 -8.688044548 26.713670731
 -8.038810730 -8.692122459 26.709821701
 -8.055143356 -8.696320534 26.706441879
 -8.071172714 -8.700629234 26.703523636
 -8.086909294 -8.705038071 26.701061249
 -8.102362633 -8.709536552 26.699047089
 -8.117542267 -8.714115143 26.697473526
 -8.132456779 -8.718763351 26.696332932
 -8.147114754 -8.723471642 26.695619583
 -8.161523819 -8.728230476 26.695325851
