 lorenz attractor:
 -3.144065380 -9.796295166 29.98683357
 -3.310371161 -9.756187439 29.86392212
 -3.471516609 -9.716371536 29.74557114
 -3.627637863 -9.676931381 29.63159370
 -3.778870106 -9.637942314 29.52181053
 -3.925346851 -9.599471092 29.41604996
 -4.067199707 -9.561575890 29.31414604
 -4.204559326 -9.524310112 29.21594048
 -4.337553024 -9.487718582 29.12128067
 -4.466307163 -9.451840401 29.03002167
 -4.590945721 -9.416709900 28.94202614
 -4.711589813 -9.382355690 28.85715866
 -4.828359127 -9.348803520 28.77529144
 -4.941370010 -9.316073418 28.69630432
 -5.050737381 -9.284181595 28.62008095
 -5.156573296 -9.253141403 28.54651070
 -5.258987427 -9.222963333 28.47548676
 -5.358086586 -9.193654060 28.40690804
 -5.453975677 -9.165219307 28.34067917
 -5.546756744 -9.137660980 28.27670860
 -5.636529446 -9.110980034 28.21490860
 -5.723390579 -9.085174561 28.15519524
 -5.807435036 -9.060240746 28.09748840
 -5.888755322 -9.036174774 28.04171371
 -5.967440605 -9.012969971 27.98779869
 -6.043578625 -8.990619659 27.93567467
 -6.117254734 -8.969115257 27.88527489
 -6.188551426 -8.948447227 27.83653831
 -6.257548809 -8.928605080 27.78940582
 -6.324325085 -8.909578323 27.74382019
 -6.388956547 -8.891354561 27.69972992
 -6.451516628 -8.873922348 27.65708160
 -6.512076855 -8.857268333 27.61582756
 -6.570706844 -8.841379166 27.57592010
 -6.627473831 -8.826242447 27.53731537
 -6.682443142 -8.811842918 27.49997330
 -6.735678196 -8.798167229 27.46385193
 -6.787240505 -8.785200119 27.42891312
 -6.837189674 -8.772927284 27.39512253
 -6.885582924 -8.761334419 27.36244392
 -6.932476521 -8.750406265 27.33084488
 -6.977924824 -8.740127563 27.30029488
 -7.021979809 -8.730483055 27.27076340
 -7.064692497 -8.721458435 27.24222183
 -7.106111526 -8.713038445 27.21464348
 -7.146284580 -8.705207825 27.18800163
 -7.185257435 -8.697951317 27.16227341
 -7.223074913 -8.691254616 27.13743401
 -7.259779453 -8.685102463 27.11346245
 -7.295412540 -8.679479599 27.09033585
 -7.330014229 -8.674371719 27.06803513
 -7.363623142 -8.669764519 27.04653931
 -7.396276474 -8.665642738 27.02583122
 -7.428010464 -8.661992073 27.00589180
 -7.458859921 -8.658797264 26.98670578
 -7.488858223 -8.656044960 26.96825600
 -7.518037796 -8.653720856 26.95052719
 -7.546429634 -8.651811600 26.93350410
 -7.574064255 -8.650302887 26.91717339
 -7.600970268 -8.649180412 26.90151978
 -7.627175331 -8.648430824 26.88653183
 -7.652706623 -8.648041725 26.87219620
 -7.677589893 -8.647998810 26.85850143
 -7.701849937 -8.648288727 26.84543419
 -7.725511074 -8.648899078 26.83298492
 -7.748595715 -8.649816513 26.82114220
 -7.771126270 -8.651028633 26.80989456
 -7.793123722 -8.652522087 26.79923248
 -7.814608574 -8.654285431 26.78914642
 -7.835600376 -8.656305313 26.77962685
 -7.856118202 -8.658570290 26.77066422
 -7.876179695 -8.661067963 26.76225090
 -7.895802021 -8.663786888 26.75437546
 -7.915001869 -8.666715622 26.74703217
 -7.933794498 -8.669841766 26.74021149
 -7.952195644 -8.673154831 26.73390579
 -7.970219612 -8.676642418 26.72810555
 -7.987880230 -8.680294037 26.72280502
 -8.005190849 -8.684098244 26.71799660
 -8.022163391 -8.688044548 26.71367073
 -8.038810730 -8.692122459 26.70982170
 -8.055143356 -8.696320534 26.70644188
 -8.071172714 -8.700629234 26.70352364
 -8.086909294 -8.705038071 26.70106125
 -8.102362633 -8.709536552 26.69904709
 -8.117542267 -8.714115143 26.69747353
 -8.132456779 -8.718763351 26.69633293
 -8.147114754 -8.723471642 26.69561958
 -8.161523819 -8.728230476 26.69532585
 -8.175691605 -8.733030319 26.69544601
 -8.189624786 -8.737861633 26.69597244
 -8.203330994 -8.742715836 26.69689941
 -8.216815948 -8.747583389 26.69821930
 -8.230085373 -8.752455711 26.69992447
 -8.243144989 -8.757324219 26.70200920
 -8.255999565 -8.762179375 26.70446587
 -8.268653870 -8.767013550 26.70728683
 -8.281112671 -8.771818161 26.71046638
 -8.293380737 -8.776585579 26.71399689
 -8.305460930 -8.781307220 26.71787262
 -8.317357063 -8.785975456 26.72208595
 -8.329072952 -8.790582657 26.72662926
 -8.340610504 -8.795121193 26.73149490
 -8.351973534 -8.799583435 26.73667717
 -8.363163948 -8.803962708 26.74216652
 -8.374183655 -8.808251381 26.74795723
 -8.385035515 -8.812442780 26.75404167
 -8.395720482 -8.816530228 26.76041222
 -8.406240463 -8.820507050 26.76706314
 -8.416597366 -8.824366570 26.77398491
 -8.426791191 -8.828103065 26.78116989
 -8.436823845 -8.831709862 26.78861046
 -8.446696281 -8.835181236 26.79629898
 -8.456408501 -8.838511467 26.80422783
 -8.465961456 -8.841694832 26.81238747
 -8.475355148 -8.844726562 26.82077217
 -8.484589577 -8.847600937 26.82937241
 -8.493664742 -8.850312233 26.83818054
 -8.502580643 -8.852856636 26.84718895
 -8.511337280 -8.855229378 26.85638809
 -8.519934654 -8.857425690 26.86577034
 -8.528371811 -8.859440804 26.87532616
 -8.536648750 -8.861270905 26.88504791
 -8.544764519 -8.862912178 26.89492798
 -8.552718163 -8.864361763 26.90495682
 -8.560509682 -8.865614891 26.91512680
 -8.568137169 -8.866668701 26.92542839
 -8.575600624 -8.867519379 26.93585205
 -8.582898140 -8.868165016 26.94639015
 -8.590029716 -8.868601799 26.95703316
 -8.596994400 -8.868827820 26.96777344
 -8.603790283 -8.868841171 26.97860146
 -8.610416412 -8.868638992 26.98950768
 -8.616871834 -8.868219376 27.00048447
 -8.623155594 -8.867580414 27.01152229
 -8.629265785 -8.866721153 27.02261162
 -8.635202408 -8.865639687 27.03374481
 -8.640963554 -8.864335060 27.04491043
 -8.646548271 -8.862806320 27.05610275
 -8.651954651 -8.861052513 27.06731033
 -8.657181740 -8.859073639 27.07852554
 -8.662228584 -8.856869698 27.08973885
 -8.667094231 -8.854439735 27.10094070
 -8.671777725 -8.851783752 27.11212349
 -8.676278114 -8.848902702 27.12327766
 -8.680593491 -8.845797539 27.13439560
 -8.684723854 -8.842468262 27.14546585
 -8.688667297 -8.838915825 27.15648270
 -8.692423820 -8.835141182 27.16743469
 -8.695991516 -8.831146240 27.17831612
 -8.699370384 -8.826931953 27.18911552
 -8.702559471 -8.822500229 27.19982719
 -8.705557823 -8.817852974 27.21044159
 -8.708365440 -8.812992096 27.22094917
 -8.710981369 -8.807920456 27.23134232
 -8.713404655 -8.802639961 27.24161339
 -8.715635300 -8.797153473 27.25175476
 -8.717673302 -8.791463852 27.26175880
 -8.719517708 -8.785574913 27.27161598
 -8.721169472 -8.779488564 27.28132057
 -8.722627640 -8.773209572 27.29086304
 -8.723892212 -8.766740799 27.30023766
 -8.724963188 -8.760085106 27.30943680
 -8.725841522 -8.753248215 27.31845284
 -8.726526260 -8.746232986 27.32727814
 -8.727019310 -8.739044189 27.33590698
 -8.727319717 -8.731685638 27.34433174
 -8.727428436 -8.724162102 27.35254669
 -8.727346420 -8.716478348 27.36054420
 -8.727074623 -8.708639145 27.36832047
 -8.726613998 -8.700649261 27.37586784
 -8.725964546 -8.692514420 27.38318062
 -8.725128174 -8.684239388 27.39025307
